MES,LOTE,COD DISTRITO,DISTRITO,MUEBLES 010    ,MUEBLES RECOG. PROGRAMADA ,MUEBLES RECOG. EN CALLE             ,Kg Recogida de muebles,RESTO            ,ORGANICA   (HOJAS Y RAMAS)                 ,ENVASES         ,PAPEL Y CARTON,VARIOS/RCDs COD DESTINO: VERLD,Kg Recogida Residuos Viarios,Servicios Barrido Manual,Servicios Barrido Mantenimiento,Servicios Barrido Mecánico,Servicios Barrido Mixto,Servicios Baldeo Mecánico,Servicios Baldeo Mixto,Servicios Hidrolimpiador (Manchas),Servicios Eliminación Grafitis,M2 Eliminacion Grafitis,Ud Reposicion Bolsas Caninas
ENERO,1,1,CENTRO ,36750,16400,3390,56540,572560,8060,2700,17420,55860,656600,1317,1608,104,91,0,463,83,1161,7077.48,855100
ENERO,1,6,TETUAN,21800,17130,38930,77860,404620,12260,220,3620,5180,425900,745,332,115,393,7,143,62,857,8451.92,511000
ENERO,1,7,CHAMBERI,52780,4650,6550,63980,260220,34540,320,1660,9300,306040,631,270,12,308,2,216,51,258,1243.76,409400
ENERO,2,2,ARGANZUELA,9740,10360,20060,40160,150800,38180,0,1160,98440,288580,852,277,12,101,0,263,36,451,6596.76,417000
ENERO,2,3,RETIRO,47220,41544,13848,102612,83088,7020,0,14060,94520,198688,532,369,26,70,0,245,21,196,1267.68,361200
ENERO,2,4,SALAMANCA,21440,12135,4945,38520,359140,2900,0,2100,16180,380320,689,501,5,76,0,335,33,402,2041.05,412000
ENERO,2,5,CHAMARTIN,8900,3100,2020,14020,104820,2360,0,0,355520,462700,715,354,6,48,0,494,19,437,3755.9,459200
ENERO,3,8,FUENCARRAL,47400,29540,56640,133580,133380,38949,0,27800,47900,248029,1476,177,85,99,0,565,62,342,4969.6,426600
ENERO,3,9,MONCLOA,36720,4900,22780,64400,81020,70460,0,11760,16160,179400,1110,240,78,90,0,560,62,269,2545.5,242780
ENERO,3,10,LATINA,72220,26640,57380,156240,93000,43940,720,6540,26440,170640,1235,150,34,107,0,438,62,487,10501.3,445800
ENERO,4,15,CIUDAD LINEAL,30387,23480,38540,92407,94445,15975,85,23040,169847.5,303392.5,1072,499,31,80,0,536,0,577,5891.81,622600
ENERO,4,16,HORTALEZA,48619.2,37568,61664,147851.2,151112,25560,136,36864,271756,485428,1697,177,117,120,0,529,137,124,1263.25,625050
ENERO,4,20,SAN BLAS,24309.6,18784,30832,73925.6,75556,12780,68,18432,135878,242714,1195,359,30,102,0,476,58,34,490.35,551280
ENERO,4,21,BARAJAS,18232.2,14088,23124,55444.2,56667,9585,51,13824,101908.5,182035.5,569,108,13,40,0,190,0,16,368.5,422950
ENERO,5,13,PUENTE DE VALLECAS,17725.05,5479,164632.95,187837,127943,34876,2563,25115,302082,492579,1428,241,48,81,0,181,35,857,10317.45,666870
ENERO,5,18,VILLA DE VALLECAS,7596.45,2991,42485.55,53073,35547,25829,777,8611,95178,165942,443,85,20,29,0,59,8,73,540.8,396480
ENERO,5,14,MORATALAZ,8257.2,4476,64794.8,77528,49792,12141,1322,18060,173808,255123,574,68,94,59,0,74,13,165,1873,317950
ENERO,5,19,VICALVARO,5064.3,1994,28323.7,35382,23698,8094,518,5974,63452,101736,476,123,33,46,0,70,6,86,901.95,358300
ENERO,6,11,CARABANCHEL,7493,8580,197754,213827,182741,14467,35,30457,129404,357104,1522,365,44,83,0,538,51,568,7580.65,640900
ENERO,6,12,USERA,4428,5070,116854,126352,107983,8549,21,17997,76466,211016,998,287,47,52,0,343,53,320,2831.5,369690
ENERO,6,17,VILLAVERDE,5109,5850,134832,145791,124596,9864,24,20766,88230,243480,1210,376,67,63,0,442,32,97,893.23,422470
FEBRERO,1,1,CENTRO ,38840,17330,3580,59750,536800,1140,4380,15840,7960,566120,1121,1450,93,57,0,443,76,902,6732.968,866300
FEBRERO,1,6,TETUAN,21640,14420,36060,72120,351020,0,120,3000,0,354140,622,278,108,155,9,156,52,109,809.69,509100
FEBRERO,1,7,CHAMBERI,47840,4240,5200,57280,206880,1840,200,2860,10740,222520,516,244,9,158,0,237,43,402,3086.43,411600
FEBRERO,2,2,ARGANZUELA,2280,7900,36760,46940,124500,0,0,4620,104470,233590,754,215,16,46,0,273,36,174,2743.79,428200
FEBRERO,2,3,RETIRO,23736,11868,3956,39560,96500,0,940,11120,79450,188010,477,311,31,27,0,225,20,244,1633.11,360500
FEBRERO,2,4,SALAMANCA,15565,4315,840,20720,290360,4620,340,7180,75560,378060,609,448,5,20,0,316,27,46,517.17,418500
FEBRERO,2,5,CHAMARTIN,9960,11900,2580,24440,120800,0,0,0,149040,269840,760,349,1,36,0,447,10,109,1656.65,451700
FEBRERO,3,8,FUENCARRAL,30540,46760,79389,156689,140120,0,0,20280,77206,237606,1332,160,80,172,0,512,56,422,6711.17,433700
FEBRERO,3,9,MONCLOA,34420,12380,9920,56720,77360,1760,0,11120,51540,141780,1004,216,74,185,0,508,56,328,3525.42,248900
FEBRERO,3,10,LATINA,97200,47240,77380,221820,91920,0,1020,9660,38100,140700,1114,136,26,185,0,396,56,689,9030.47,455100
FEBRERO,4,15,CIUDAD LINEAL,37818,25974,43128,106920,92871,1884,54,21789,169791,286389,1066,462,23,104,0,522,0,215,2506.025,633450
FEBRERO,4,16,HORTALEZA,44121,30303,50316,124740,108349.5,2198,63,25420.5,198089.5,334120.5,1659,173,112,120,0,512,140,488,6280.79,638100
FEBRERO,4,20,SAN BLAS,25212,17316,28752,71280,61914,1256,36,14526,113194,190926,1182,327,28,99,0,471,48,438,4380.24,566350
FEBRERO,4,21,BARAJAS,18909,12987,21564,53460,46435.5,942,27,10894.5,84895.5,143194.5,574,104,12,40,0,184,0,103,701.91,433100
FEBRERO,5,13,PUENTE DE VALLECAS ,15870.75,6874,161781.25,184526,79698,728,336,24845,217467.5,323074.5,1481,216,33,219,0,250,31,345,2779.003,676170
FEBRERO,5,18,VILLA DE VALLECAS ,6801.75,2946,47906.25,57654,23442,637,144,8505,76057.5,108785.5,483,76,19,61,0,72,8,173,1545.67,402400
FEBRERO,5,14,MORATALAZ,18138,7856,77750,103744,37512,273,384,17680,162820,218669,677,60,87,88,0,91,12,43,1143,322800
FEBRERO,5,19,VICALVARO,4534.5,1964,31937.5,38436,15628,182,96,5670,50705,72281,509,108,31,125,0,98,4,137,1688.05,365900
FEBRERO,6,11,CARABANCHEL,9249,7744,188500,205493,146368,0,112,30712,83300,260492,1291,313,32,74,0,501,23,893,11447.005,655600
FEBRERO,6,12,USERA,5465,4576,111386,121427,91480,0,70,18148,52062,161760,825,251,43,46,0,317,30,176,1911.03,374700
FEBRERO,6,17,VILLAVERDE,6306,5280,128523,140109,128072,0,98,20940,72887,221997,1018,325,60,57,0,408,19,235,2857.787,429150
MARZO,1,1,CENTRO ,41600,18560,3840,64000,619640,0,6720,15300,19780,661440,1084,1596,105,31,0,657,84,1037,5420.35,876100
MARZO,1,6,TETUAN,28480,18990,47480,94950,300580,0,140,5140,2280,308140,691,333,125,107,15,379,60,550,5284.58,515700
MARZO,1,7,CHAMBERI,44720,3300,4120,52140,299700,0,160,3360,4880,308100,522,271,11,116,0,381,56,242,1133.44,422000
MARZO,2,2,ARGANZUELA,10520,7820,35340,53680,167968,1580,0,3720,107400,280668,823,275,16,55,0,308,43,383,4849.116,415000
MARZO,2,3,RETIRO,27840,13920,4640,46400,170240,0,1560,22040,13500,207340,531,368,32,30,0,248,21,103,633.87,338700
MARZO,2,4,SALAMANCA,15115,12225,5220,32560,384270,0,540,5540,46000,436350,668,496,4,22,1,352,32,312,969.645,423900
MARZO,2,5,CHAMARTIN,14220,8860,4360,27440,90020,0,0,0,214380,304400,913,419,2,43,0,506,10,471,3860.71,468000
MARZO,3,8,FUENCARRAL,44506,24140,81109,149755,104340,0,260,20920,63840,189360,1471,175,83,171,0,569,31,184,3442.44,424500
MARZO,3,9,MONCLOA,33760,21480,10960,66200,120420,0,0,12200,42740,175360,1103,239,75,169,0,567,31,203,2525.49,251000
MARZO,3,10,LATINA,125280,31400,81500,238180,120460,0,780,11120,27820,160180,1229,147,31,175,0,445,31,908,17433.35,462700
MARZO,4,15,CIUDAD LINEAL,41172,29317.5,49659,120148.5,117216,0,80,24450,192196.8,333942.8,1105,512,22,87,0,580,0,529,3093.8175,640100
MARZO,4,16,HORTALEZA,48034,34203.75,57935.5,140173.25,136752,0,90,28525,224229.6,389596.6,1741,190,123,131,0,566,155,152,2283.46,644700
MARZO,4,20,SAN BLAS,34310,24431.25,41382.5,100123.75,97680,0,65,20375,160164,278284,1215,366,31,110,0,520,62,51,880.5,575100
MARZO,4,21,BARAJAS,13724,9772.5,16553,40049.5,39072,0,25,8150,64065.6,111312.6,591,111,13,44,0,203,0,27,285.3,436600
MARZO,5,13,PUENTE DE VALLECAS ,21584.15,8232,186183.85,216000,69727,0,665,33450,189304.5,293146.5,1440,237,36,114,0,605,36,392,4464.55,664100
MARZO,5,18,VILLA DE VALLECAS ,9250.35,3528,56221.65,69000,29883,0,285,10050,81130.5,121348.5,480,85,8,27,0,185,8,152,1193.224,445600
MARZO,5,14,MORATALAZ,14667.6,9408,104924.4,129000,79688,0,760,16800,216348,313596,651,66,83,69,0,236,13,209,2252.5,359500
MARZO,5,19,VICÁLVARO,6166.9,2352,37481.1,46000,19922,0,190,6700,54087,80899,534,117,25,60,0,232,5,68,462.6,375000
MARZO,6,11,CARABANCHEL,10771,11475,219718,241964,172674,0,70,36696,83576,293016,1532,370,46,87,0,570,48,665,7747.685,639400
MARZO,6,12,USERA,6365,6781,129834,142980,102034,0,42,21684,49386,173146,977,297,50,55,0,359,54,289,3107.81,359900
MARZO,6,17,VILLAVERDE,7344,7824,149808,164976,117732,0,48,25020,56984,199784,1203,384,60,69,0,464,50,55,481,424000
